A1BG,A1BG,monkey
A1CF,A1CF,monkey
A2M,A2M,monkey
A2ML1,A2ML1,monkey
A3GALT2,A3GALT2,monkey
A4GALT,A4GALT,monkey
A4GNT,A4GNT,monkey
AAAS,AAAS,monkey
AACS,AACS,monkey
AADAC,AADAC,monkey
AADACL2,AADACL2,monkey
AADACL3,AADACL3,monkey
AADACL4,AADACL4,monkey
AADAT,AADAT,monkey
AAK1,AAK1,monkey
AAMDC,AAMDC,monkey
AAMP,AAMP,monkey
AANAT,AANAT,monkey
AAR2,AAR2,monkey
AARD,AARD,monkey
AARS,AARS1,monkey
AARS2,AARS2,monkey
AASDH,AASDH,monkey
AASDHPPT,AASDHPPT,monkey
AASS,AASS,monkey
AATF,AATF,monkey
AATK,AATK,monkey
ABAT,ABAT,monkey
ABCA1,ABCA1,monkey
ABCA12,ABCA12,monkey
ABCA13,ABCA13,monkey
ABCA2,ABCA2,monkey
ABCA3,ABCA3,monkey
ABCA4,ABCA4,monkey
ABCA5,ABCA5,monkey
ABCA6,ABCA6,monkey
ABCA7,ABCA7,monkey
ABCA8,ABCA8,monkey
ABCA9,ABCA9,monkey
ABCB1,ABCB1,monkey
ABCB1,ABCB4,monkey
ABCB11,ABCB11,monkey
ABCB5,ABCB5,monkey
ABCB6,ABCB6,monkey
ABCB7,ABCB7,monkey
ABCB8,ABCB8,monkey
ABCB9,ABCB9,monkey
ABCC1,ABCC1,monkey
ABCC10,ABCC10,monkey
ABCC11,ABCC11,monkey
ABCC12,ABCC12,monkey
ABCC2,ABCC2,monkey
ABCC3,ABCC3,monkey
ABCC4,ABCC4,monkey
ABCC5,ABCC5,monkey
ABCC6,ABCC6,monkey
ABCC8,ABCC8,monkey
ABCC9,ABCC9,monkey
ABCD1,ABCD1,monkey
ABCD2,ABCD2,monkey
ABCD3,ABCD3,monkey
ABCD4,ABCD4,monkey
ABCE1,ABCE1,monkey
ABCF1,ABCF1,monkey
ABCF3,ABCF3,monkey
ABCG1,ABCG1,monkey
ABCG2,ABCG2,monkey
ABCG4,ABCG4,monkey
ABCG5,ABCG5,monkey
ABCG8,ABCG8,monkey
ABHD1,ABHD1,monkey
ABHD10,ABHD10,monkey
ABHD11,ABHD11,monkey
ABHD12,ABHD12,monkey
ABHD12B,ABHD12B,monkey
ABHD13,ABHD13,monkey
ABHD14B,ABHD14B,monkey
ABHD15,ABHD15,monkey
ABHD16A,ABHD16A,monkey
ABHD16B,ABHD16B,monkey
ABHD17A,ABHD17A,monkey
ABHD17B,ABHD17B,monkey
ABHD17C,ABHD17C,monkey
ABHD18,ABHD18,monkey
ABHD2,ABHD2,monkey
ABHD3,ABHD3,monkey
ABHD4,ABHD4,monkey
ABHD4,ABHD5,monkey
ABHD5,ABHD5,monkey
ABHD6,ABHD6,monkey
ABI1,ABI1,monkey
ABI2,ABI2,monkey
ABI3,ABI3,monkey
ABI3BP,ABI3BP,monkey
ABITRAM,ABITRAM,monkey
ABL1,ABL1,monkey
ABL2,ABL2,monkey
ABLIM1,ABLIM1,monkey
ABLIM2,ABLIM2,monkey
ABLIM3,ABLIM3,monkey
ABO,ABO,monkey
ABR,ABR,monkey
ABRA,ABRA,monkey
ABRACL,ABRACL,monkey
ABRAXAS1,ABRAXAS1,monkey
ABRAXAS2,ABRAXAS2,monkey
ABT1,ABT1,monkey
ABTB1,ABTB1,monkey
ACAA1,ACAA1,monkey
ACAA2,ACAA2,monkey
ACACA,ACACA,monkey
ACACB,ACACB,monkey
ACAD8,ACAD8,monkey
ACAD9,ACAD9,monkey
ACADL,ACADL,monkey
ACADM,ACADM,monkey
ACADS,ACADS,monkey
ACADSB,ACADSB,monkey
ACADVL,ACADVL,monkey
ACAN,ACAN,monkey
ACAP1,ACAP1,monkey
ACAP2,ACAP2,monkey
ACAP3,ACAP3,monkey
ACAT1,ACAT1,monkey
ACBD3,ACBD3,monkey
ACBD4,ACBD4,monkey
ACBD5,ACBD5,monkey
ACBD6,ACBD6,monkey
ACBD7,ACBD7,monkey
ACCS,ACCS,monkey
ACCSL,ACCSL,monkey
ACD,ACD,monkey
ACE,ACE,monkey
ACE,ENSG00000264813.6,monkey
ACE2,ACE2,monkey
ACER1,ACER1,monkey
ACER2,ACER2,monkey
ACER3,ACER3,monkey
ACHE,ACHE,monkey
ACIN1,ACIN1,monkey
ACKR1,ACKR1,monkey
ACKR2,ACKR2,monkey
ACKR3,ACKR3,monkey
ACKR4,ACKR4,monkey
ACLY,ACLY,monkey
ACMSD,ACMSD,monkey
ACO1,ACO1,monkey
ACO2,ACO2,monkey
ACOD1,ACOD1,monkey
ACOT11,ACOT11,monkey
ACOT12,ACOT12,monkey
ACOT13,ACOT13,monkey
ACOT6,ACOT6,monkey
ACOT7,ACOT7,monkey
ACOT8,ACOT8,monkey
ACOT9,ACOT9,monkey
ACOX1,ACOX1,monkey
ACOX2,ACOX2,monkey
ACOX3,ACOX3,monkey
ACP2,ACP2,monkey
ACP4,ACP4,monkey
ACP5,ACP5,monkey
ACP6,ACP6,monkey
ACPP,ACP3,monkey
ACR,ACR,monkey
ACRBP,ACRBP,monkey
ACRV1,ACRV1,monkey
ACSBG1,ACSBG1,monkey
ACSBG2,ACSBG2,monkey
ACSF2,ACSF2,monkey
ACSF3,ACSF3,monkey
ACSL1,ACSL1,monkey
ACSL3,ACSL3,monkey
ACSL4,ACSL4,monkey
ACSL5,ACSL5,monkey
ACSM1,ACSM1,monkey
ACSM3,ACSM3,monkey
ACSM4,ACSM4,monkey
ACSM5,ACSM5,monkey
ACSS1,ACSS1,monkey
ACSS2,ACSS2,monkey
ACSS3,ACSS3,monkey
ACTA1,ACTA1,monkey
ACTA2,ACTA2,monkey
ACTB,ACTB,monkey
ACTC1,ACTC1,monkey
ACTG1,ACTG1,monkey
ACTG2,ACTG2,monkey
ACTL10,ACTL10,monkey
ACTL6A,ACTL6A,monkey
ACTL6B,ACTL6B,monkey
ACTL7A,ACTL7A,monkey
ACTL7B,ACTL7B,monkey
ACTL8,ACTL8,monkey
ACTL9,ACTL9,monkey
ACTN1,ACTN1,monkey
ACTN2,ACTN2,monkey
ACTN3,ACTN3,monkey
ACTN4,ACTN4,monkey
ACTR10,ACTR10,monkey
ACTR1A,ACTR1A,monkey
ACTR1B,ACTR1B,monkey
ACTR2,ACTR2,monkey
ACTR3,ACTR3,monkey
ACTR3B,ACTR3B,monkey
ACTR5,ACTR5,monkey
ACTR6,ACTR6,monkey
ACTR8,ACTR8,monkey
ACTRT1,ACTRT1,monkey
ACTRT2,ACTRT2,monkey
